Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.77,,2018-11-01 16:30:42,2018-11-01 16:30:54,12.085s,PASSED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.77,,2018-11-01 16:30:42,2018-11-01 16:30:54,11.794s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 16:30:43,2018-11-01 16:30:46,3.118s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 16:30:46,2018-11-01 16:30:50,3.943s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 16:30:50,2018-11-01 16:30:50,0.417s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:30:50,2018-11-01 16:30:50,0.223s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-01 16:30:50,2018-11-01 16:30:51,0.861s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:30:51,2018-11-01 16:30:51,0.145s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 16:30:51,2018-11-01 16:30:52,0.625s,PASSED
