Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.77,,2018-11-01 16:39:47,2018-11-01 16:39:59,12.297s,PASSED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.77,,2018-11-01 16:39:47,2018-11-01 16:39:59,11.903s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 16:39:48,2018-11-01 16:39:51,3.295s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 16:39:51,2018-11-01 16:39:55,3.513s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 16:39:55,2018-11-01 16:39:55,0.471s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:39:55,2018-11-01 16:39:55,0.195s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-01 16:39:55,2018-11-01 16:39:56,0.858s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:39:56,2018-11-01 16:39:57,0.260s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 16:39:57,2018-11-01 16:39:57,0.652s,PASSED
